dataset,variant,score,n_tasks,tokens_total,cost_total_usd,latency_avg_s,gate_totals,source
hotpotqa,AC-Full,0.7648,800,2519303,0.428405,4.969,{},runs/full_v6/hotpotqa/metrics.json
hotpotqa,AC-NoGate,0.7662,800,2518091,0.427693,3.235,{},runs/ablations/hotpotqa/AC-NoGate/metrics.json
hotpotqa,AC-NoSkillsTools,0.7615,800,2517661,0.42741,3.281,{},runs/ablations/hotpotqa/AC-NoSkillsTools/metrics.json
hotpotqa,AC-Minimal,0.7604,800,2518478,0.427929,3.285,{},runs/ablations/hotpotqa/AC-Minimal/metrics.json
drop,AC-Full,0.7723,800,1855487,0.385289,8.577,"{""arithmetic_mismatch"": 13}",runs/full_v6/drop/metrics.json
drop,AC-NoGate,0.7739,800,1849407,0.384189,6.878,{},runs/ablations/drop/AC-NoGate/metrics.json
drop,AC-NoSkillsTools,0.783,800,1850840,0.383651,6.756,"{""arithmetic_mismatch"": 15}",runs/ablations/drop/AC-NoSkillsTools/metrics.json
drop,AC-Minimal,0.7695,800,1846874,0.383122,6.736,{},runs/ablations/drop/AC-Minimal/metrics.json
humaneval,AC-Full,0.9015,132,393887,0.106179,17.774,{},runs/full_v6/humaneval/metrics.json
humaneval,AC-NoGate,0.8788,132,391794,0.105334,16.481,{},runs/ablations/humaneval/AC-NoGate/metrics.json
humaneval,AC-NoSkillsTools,0.8864,132,244997,0.068997,11.447,{},runs/ablations/humaneval/AC-NoSkillsTools/metrics.json
humaneval,AC-Minimal,0.8864,132,242756,0.067869,11.93,{},runs/ablations/humaneval/AC-Minimal/metrics.json
mbpp,AC-Full,0.8713,342,744251,0.179108,12.21,{},runs/full_v6/mbpp/metrics.json
mbpp,AC-NoGate,0.8684,342,746176,0.179809,10.113,{},runs/ablations/mbpp/AC-NoGate/metrics.json
mbpp,AC-NoSkillsTools,0.8626,342,490820,0.122868,7.379,"{""tool_error"": 1}",runs/ablations/mbpp/AC-NoSkillsTools/metrics.json
mbpp,AC-Minimal,0.8596,342,490727,0.122847,7.333,{},runs/ablations/mbpp/AC-Minimal/metrics.json
gsm8k,AC-Full,0.9441,1056,634767,0.253663,6.922,{},runs/full_v6/gsm8k/metrics.json
gsm8k,AC-NoGate,0.9318,1056,636015,0.254419,6.98,{},runs/ablations/gsm8k/AC-NoGate/metrics.json
gsm8k,AC-NoSkillsTools,0.9403,1056,634600,0.253569,6.958,"{""low_confidence"": 1}",runs/ablations/gsm8k/AC-NoSkillsTools/metrics.json
gsm8k,AC-Minimal,0.9394,1056,637444,0.255275,6.967,{},runs/ablations/gsm8k/AC-Minimal/metrics.json
math,AC-Full,0.5816,478,967364,0.367,,{},runs/full/math/metrics.json
math,AC-NoGate,0.5655,481,986685,0.376473,18.542,{},runs/ablations/math/AC-NoGate/metrics.json
math,AC-NoSkillsTools,0.5322,481,1045992,0.493629,29.672,{},runs/ablations/math/AC-NoSkillsTools/metrics.json
math,AC-Minimal,0.5166,482,1052085,0.497017,28.565,{},runs/ablations/math/AC-Minimal/metrics.json
